boxofficeType,showRange,showRange_start,showRange_end,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,조회일,days_after_open,상영지속일수
일별 박스오피스,20230101~20230101,2023-01-01,2023-01-01,6,6,0,OLD,20228640,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,162441529,1.8,-25654479,-13.6,3579760605,17049,-2906,-14.6,373832,491,632,2023-01-01,18,21
일별 박스오피스,20230102~20230102,2023-01-02,2023-01-02,6,6,0,OLD,20228640,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,64552288,2.1,-97889241,-60.3,3644312893,7332,-9717,-57,381164,390,512,2023-01-02,19,21
일별 박스오피스,20230103~20230103,2023-01-03,2023-01-03,6,6,0,OLD,20228640,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,63138250,2.4,-1414038,-2.2,3707451143,7146,-186,-2.5,388310,384,494,2023-01-03,20,21
일별 박스오피스,20230101~20230101,2023-01-01,2023-01-01,1,1,0,OLD,20225061,아바타: 물의 길,2022-12-14,5546745851,63.2,-1027346873,-15.6,95843585053,429533,-85748,-16.6,7742682,2047,7148,2023-01-01,18,21
일별 박스오피스,20230102~20230102,2023-01-02,2023-01-02,1,1,0,OLD,20225061,아바타: 물의 길,2022-12-14,1869536653,60.3,-3677209198,-66.3,97713121706,145308,-284225,-66.2,7887990,1992,6578,2023-01-02,19,21
일별 박스오피스,20230103~20230103,2023-01-03,2023-01-03,1,1,0,OLD,20225061,아바타: 물의 길,2022-12-14,1475204233,55.9,-394332420,-21.1,99188325939,113903,-31405,-21.6,8001893,1991,6471,2023-01-03,20,21
일별 박스오피스,20230101~20230101,2023-01-01,2023-01-01,2,2,0,OLD,20196478,영웅,2022-12-21,1908571119,21.7,-173788777,-8.3,16442796442,185254,-20082,-9.8,1672933,1099,3563,2023-01-01,11,21
일별 박스오피스,20230102~20230102,2023-01-02,2023-01-02,2,2,0,OLD,20196478,영웅,2022-12-21,653536764,21.1,-1255034355,-65.8,17096333206,68901,-116353,-62.8,1741834,1036,3553,2023-01-02,12,21
일별 박스오피스,20230103~20230103,2023-01-03,2023-01-03,2,2,0,OLD,20196478,영웅,2022-12-21,577090019,21.9,-76446745,-11.7,17673423225,61500,-7401,-10.7,1803334,1016,3556,2023-01-03,13,21
일별 박스오피스,20230104~20230104,2023-01-04,2023-01-04,4,4,-2,OLD,20196478,영웅,2022-12-21,458092540,13.7,-118997479,-20.6,18131515765,48340,-13160,-21.4,1851674,858,2461,2023-01-04,14,21
일별 박스오피스,20230105~20230105,2023-01-05,2023-01-05,2,2,2,OLD,20196478,영웅,2022-12-21,465448078,15.7,7355538,1.6,18596963843,49248,908,1.9,1900922,875,2548,2023-01-05,15,21
일별 박스오피스,20230106~20230106,2023-01-06,2023-01-06,2,2,0,OLD,20196478,영웅,2022-12-21,623699982,16.2,158251904,34,19220663825,63372,14124,28.7,1964294,874,2672,2023-01-06,16,21
일별 박스오피스,20230107~20230107,2023-01-07,2023-01-07,2,2,0,OLD,20196478,영웅,2022-12-21,1365196965,16.8,741496983,118.9,20585860790,133408,70036,110.5,2097702,924,2811,2023-01-07,17,21
일별 박스오피스,20230108~20230108,2023-01-08,2023-01-08,2,2,0,OLD,20196478,영웅,2022-12-21,1278854920,17.3,-86342045,-6.3,21864715710,125892,-7516,-5.6,2223594,927,2746,2023-01-08,18,21
일별 박스오피스,20230109~20230109,2023-01-09,2023-01-09,3,3,-1,OLD,20196478,영웅,2022-12-21,383346199,16.4,-895508721,-70,22248061909,39871,-86021,-68.3,2263465,796,2569,2023-01-09,19,21
일별 박스오피스,20230110~20230110,2023-01-10,2023-01-10,3,3,0,OLD,20196478,영웅,2022-12-21,363405267,16.4,-19940932,-5.2,22611467176,37874,-1997,-5,2301339,823,2556,2023-01-10,20,21
일별 박스오피스,20230101~20230101,2023-01-01,2023-01-01,8,8,0,OLD,20228829,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,65057205,0.7,-19939363,-23.5,1158912824,6787,-2349,-25.7,124810,338,402,2023-01-01,10,13
일별 박스오피스,20230102~20230102,2023-01-02,2023-01-02,7,7,1,OLD,20228829,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,32596592,1.1,-32460613,-49.9,1191509416,3676,-3111,-45.8,128486,296,337,2023-01-02,11,13
일별 박스오피스,20230103~20230103,2023-01-03,2023-01-03,7,7,0,OLD,20228829,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,33449932,1.3,853340,2.6,1224959348,3993,317,8.6,132479,296,337,2023-01-03,12,13
일별 박스오피스,20230101~20230101,2023-01-01,2023-01-01,9,9,0,OLD,20227925,몬스터 신부: 101번째 프로포즈,2022-12-28,45186900,0.5,-14181400,-23.9,235671900,4614,-1694,-26.9,25652,211,276,2023-01-01,4,7
일별 박스오피스,20230102~20230102,2023-01-02,2023-01-02,10,10,-1,OLD,20227925,몬스터 신부: 101번째 프로포즈,2022-12-28,14456900,0.5,-30730000,-68,250128800,1557,-3057,-66.3,27209,173,202,2023-01-02,5,7
일별 박스오피스,20230103~20230103,2023-01-03,2023-01-03,10,10,0,OLD,20227925,몬스터 신부: 101번째 프로포즈,2022-12-28,17072700,0.6,2615800,18.1,267201500,2213,656,42.1,29422,193,225,2023-01-03,6,7
일별 박스오피스,20230101~20230101,2023-01-01,2023-01-01,4,4,-1,OLD,20210140,젠틀맨,2022-12-28,276398168,3.1,-122877982,-30.8,1697482823,26293,-13064,-33.2,178851,715,1620,2023-01-01,4,14
일별 박스오피스,20230102~20230102,2023-01-02,2023-01-02,5,5,-1,OLD,20210140,젠틀맨,2022-12-28,98087268,3.2,-178310900,-64.5,1795570091,10305,-15988,-60.8,189156,645,1566,2023-01-02,5,14
일별 박스오피스,20230103~20230103,2023-01-03,2023-01-03,4,4,1,OLD,20210140,젠틀맨,2022-12-28,89786306,3.4,-8300962,-8.5,1885356397,9628,-677,-6.6,198784,648,1539,2023-01-03,6,14
일별 박스오피스,20230104~20230104,2023-01-04,2023-01-04,10,10,-6,OLD,20210140,젠틀맨,2022-12-28,18363687,0.5,-71422619,-79.5,1903720084,2039,-7589,-78.8,200823,215,270,2023-01-04,7,14
일별 박스오피스,20230105~20230105,2023-01-05,2023-01-05,10,10,0,OLD,20210140,젠틀맨,2022-12-28,15712287,0.5,-2651400,-14.4,1919432371,1777,-262,-12.8,202600,224,274,2023-01-05,8,14
일별 박스오피스,20230106~20230106,2023-01-06,2023-01-06,9,9,1,OLD,20210140,젠틀맨,2022-12-28,18858691,0.5,3146404,20,1938291062,2307,530,29.8,204907,212,262,2023-01-06,9,14
일별 박스오피스,20230107~20230107,2023-01-07,2023-01-07,9,9,0,OLD,20210140,젠틀맨,2022-12-28,41808092,0.5,22949401,121.7,1980099154,4397,2090,90.6,209304,192,233,2023-01-07,10,14
일별 박스오피스,20230108~20230108,2023-01-08,2023-01-08,9,9,0,OLD,20210140,젠틀맨,2022-12-28,41420477,0.6,-387615,-0.9,2021519631,4205,-192,-4.4,213509,192,229,2023-01-08,11,14
일별 박스오피스,20230109~20230109,2023-01-09,2023-01-09,8,8,1,OLD,20210140,젠틀맨,2022-12-28,11220196,0.5,-30200281,-72.9,2032739827,1672,-2533,-60.2,215181,140,156,2023-01-09,12,14
일별 박스오피스,20230110~20230110,2023-01-10,2023-01-10,10,10,-2,OLD,20210140,젠틀맨,2022-12-28,8530393,0.4,-2689803,-24,2041270220,1237,-435,-26,216418,140,164,2023-01-10,13,14
일별 박스오피스,20230104~20230104,2023-01-04,2023-01-04,9,9,0,NEW,20228652,3000년의 기다림,2023-01-04,28365854,0.8,28365854,100,39707854,2896,2896,100,3664,165,225,2023-01-04,0,7
일별 박스오피스,20230105~20230105,2023-01-05,2023-01-05,9,9,0,OLD,20228652,3000년의 기다림,2023-01-04,17426993,0.6,-10938861,-38.6,57134847,1888,-1008,-34.8,5552,176,237,2023-01-05,1,7
일별 박스오피스,20230106~20230106,2023-01-06,2023-01-06,10,10,-1,OLD,20228652,3000년의 기다림,2023-01-04,18492589,0.5,1065596,6.1,75627436,1897,9,0.5,7449,161,220,2023-01-06,2,7
일별 박스오피스,20230107~20230107,2023-01-07,2023-01-07,10,10,0,OLD,20228652,3000년의 기다림,2023-01-04,25685492,0.3,7192903,38.9,101312928,2389,492,25.9,9838,173,229,2023-01-07,3,7
일별 박스오피스,20230108~20230108,2023-01-08,2023-01-08,10,10,0,OLD,20228652,3000년의 기다림,2023-01-04,20907554,0.3,-4777938,-18.6,122220482,2021,-368,-15.4,11859,168,215,2023-01-08,4,7
일별 박스오피스,20230109~20230109,2023-01-09,2023-01-09,10,10,0,OLD,20228652,3000년의 기다림,2023-01-04,10004290,0.4,-10903264,-52.1,132224772,1082,-939,-46.5,12941,145,192,2023-01-09,5,7
일별 박스오피스,20230110~20230110,2023-01-10,2023-01-10,8,8,2,OLD,20228652,3000년의 기다림,2023-01-04,15350788,0.7,5346498,53.4,147575560,2041,959,88.6,14982,143,204,2023-01-10,6,7
일별 박스오피스,20230104~20230104,2023-01-04,2023-01-04,2,2,0,NEW,20228555,더 퍼스트 슬램덩크,2023-01-04,618630760,18.5,618630760,100,685498760,62090,62090,100,68735,809,2096,2023-01-04,0,21
일별 박스오피스,20230105~20230105,2023-01-05,2023-01-05,3,3,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,418760478,14.1,-199870282,-32.3,1104259238,42069,-20021,-32.2,110804,809,2091,2023-01-05,1,21
일별 박스오피스,20230106~20230106,2023-01-06,2023-01-06,3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,620510519,16.1,201750041,48.2,1724769757,59472,17403,41.4,170276,843,2274,2023-01-06,2,21
일별 박스오피스,20230107~20230107,2023-01-07,2023-01-07,3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,1370307256,16.8,749796737,120.8,3095077013,129238,69766,117.3,299514,1023,2673,2023-01-07,3,21
